종목코드,종목명,상장일,거래소,종가,시가총액
153490,우리이앤엘,2013-02-05,KQ,1695,86743800000
037400,우리조명,1999-12-16,KQ,2915,75129886290
065680,우주일렉트로,2004-01-02,KQ,27350,271700917000
095270,웨이브일렉트로,2007-09-12,KQ,4480,67146083160
053580,웹케시,2019-01-25,KQ,31450,428752312800
330350,위더스제약,2020-07-03,KQ,10600,139799393200
348350,위드텍,2020-10-30,KQ,18900,192470040000
112040,위메이드,2009-12-18,KQ,167100,5534037017600
101730,위메이드맥스,2009-06-03,KQ,29500,462812105500
299900,위지윅스튜디오,2018-12-20,KQ,31900,1358884627800
136540,윈스,2011-05-02,KQ,15350,186227860750
320000,윈텍,2019-09-18,KQ,2645,48837750720
048430,유라테크,2001-01-11,KQ,10500,120960000000
206650,유바이오로직스,2017-01-24,KQ,46500,1686474240850
069330,유아이디,2003-08-18,KQ,2560,34560392490
191410,육일씨엔에쓰,2015-12-24,KQ,3660,34221845410
072770,율호,2007-07-25,KQ,2460,96053664860
303530,이노뎁,2021-06-18,KQ,26900,194247803400
053350,이니텍,2001-11-15,KQ,6010,119537132640
095190,이엠코리아,2007-10-29,KQ,4380,186292036875
037330,인지디스플레,1999-12-14,KQ,3210,141310421280
083640,인콘,2005-12-27,KQ,1860,83288604185
019540,일지테크,1992-11-03,KQ,3740,50067517500
095700,제넥신,2009-09-15,KQ,66900,1666940191200
026040,제이에스티나,1999-12-21,KQ,4330,71461410700
033050,제이엠아이,1997-08-18,KQ,1210,39746797240
199820,제일전기공업,2020-11-26,KQ,20250,224977500000
270520,지엔원에너지,2017-08-22,KQ,3755,117189449540
018120,진로발효,1993-12-29,KQ,31750,210882672000
261780,차백신연구소,2021-10-22,KQ,10700,284113491500
066360,체리부로,2017-12-04,KQ,1535,71246008480
293490,카카오게임즈,2020-09-10,KQ,91200,6841976079200
180400,캔서롭,2015-11-20,KQ,7740,222082929900
221980,케이디켐,2015-11-19,KQ,16300,65565500000
089150,케이씨티,2006-12-13,KQ,6380,108045000000
032500,케이엠더블유,2000-03-21,KQ,40250,1602790540750
256940,케이피에스,2017-09-06,KQ,13100,239207588900
042040,케이피엠테크,2003-01-07,KQ,1355,197393322795
101670,코리아에스이,2008-07-15,KQ,1550,29767500000
036690,코맥스,2000-01-18,KQ,5550,84538940430
166480,코아스템,2015-06-26,KQ,17900,284033065100
033290,코웰패션,1997-10-13,KQ,8870,784997075580
060280,큐렉소,2002-07-03,KQ,7040,235733789850
040350,큐로컴,2002-01-10,KQ,1415,178882330240
115180,큐리언트,2016-02-29,KQ,30300,269168898600
016600,큐캐피탈,1993-06-21,KQ,530,90348336903
