종목명,산업,섹터,종목코드
대한방직,경기관련소비재,내구소비재와의류,1070
조광피혁,경기관련소비재,내구소비재와의류,4700
클리오,경기관련소비재,내구소비재와의류,237880
씨티케이,경기관련소비재,내구소비재와의류,260930
BYC,경기관련소비재,내구소비재와의류,1460
코리아나,경기관련소비재,내구소비재와의류,27050
대원화성,경기관련소비재,내구소비재와의류,24890
제로투세븐,경기관련소비재,내구소비재와의류,159580
에스제이그룹,경기관련소비재,내구소비재와의류,306040
에브리봇,경기관련소비재,내구소비재와의류,270660
골드퍼시픽,경기관련소비재,내구소비재와의류,38530
윌비스,경기관련소비재,내구소비재와의류,8600
코스메카코리아,경기관련소비재,내구소비재와의류,241710
웰바이오텍,경기관련소비재,내구소비재와의류,10600
잇츠한불,경기관련소비재,내구소비재와의류,226320
파세코,경기관련소비재,내구소비재와의류,37070
삼익악기,경기관련소비재,내구소비재와의류,2450
백산,경기관련소비재,내구소비재와의류,35150
유니켐,경기관련소비재,내구소비재와의류,11330
삼양통상,경기관련소비재,내구소비재와의류,2170
비비안,경기관련소비재,내구소비재와의류,2070
이녹스,경기관련소비재,내구소비재와의류,88390
삼천리자전거,경기관련소비재,내구소비재와의류,24950
한국화장품,경기관련소비재,내구소비재와의류,123690
SG세계물산,경기관련소비재,내구소비재와의류,4060
형지엘리트,경기관련소비재,내구소비재와의류,93240
방림,경기관련소비재,내구소비재와의류,3610
손오공,경기관련소비재,내구소비재와의류,66910
에이블씨엔씨,경기관련소비재,내구소비재와의류,78520
부방,경기관련소비재,내구소비재와의류,14470
제이준코스메틱,경기관련소비재,내구소비재와의류,25620
하츠,경기관련소비재,내구소비재와의류,66130
엔바이오니아,경기관련소비재,내구소비재와의류,317870
바른손,경기관련소비재,내구소비재와의류,18700
디케이앤디,경기관련소비재,내구소비재와의류,263020
한세예스24홀딩스,경기관련소비재,내구소비재와의류,16450
태평양물산,경기관련소비재,내구소비재와의류,7980
토박스코리아,경기관련소비재,내구소비재와의류,215480
유진로봇,경기관련소비재,내구소비재와의류,56080
위니아딤채,경기관련소비재,내구소비재와의류,71460
엔에프씨,경기관련소비재,내구소비재와의류,265740
모나미,경기관련소비재,내구소비재와의류,5360
지엔코,경기관련소비재,내구소비재와의류,65060
대현,경기관련소비재,내구소비재와의류,16090
폴라리스우노,경기관련소비재,내구소비재와의류,114630
신영와코루,경기관련소비재,내구소비재와의류,5800
코스나인,경기관련소비재,내구소비재와의류,82660
오로라,경기관련소비재,내구소비재와의류,39830
케이엠,경기관련소비재,내구소비재와의류,83550
메타랩스,경기관련소비재,내구소비재와의류,90370
토니모리,경기관련소비재,내구소비재와의류,214420
제이에스티나,경기관련소비재,내구소비재와의류,26040
씨앤씨인터내셔널,경기관련소비재,내구소비재와의류,352480
리더스코스메틱,경기관련소비재,내구소비재와의류,16100
아즈텍WB,경기관련소비재,내구소비재와의류,32080
아이패밀리에스씨,경기관련소비재,내구소비재와의류,114840
엠에프엠코리아,경기관련소비재,내구소비재와의류,323230
세화피앤씨,경기관련소비재,내구소비재와의류,252500
한독크린텍,경기관련소비재,내구소비재와의류,256150
한국화장품제조,경기관련소비재,내구소비재와의류,3350
호전실업,경기관련소비재,내구소비재와의류,111110
씨큐브,경기관련소비재,내구소비재와의류,101240
코데즈컴바인,경기관련소비재,내구소비재와의류,47770
인디에프,경기관련소비재,내구소비재와의류,14990
원풍물산,경기관련소비재,내구소비재와의류,8290
배럴,경기관련소비재,내구소비재와의류,267790
전방,경기관련소비재,내구소비재와의류,950
그리티,경기관련소비재,내구소비재와의류,204020
에스디생명공학,경기관련소비재,내구소비재와의류,217480
본느,경기관련소비재,내구소비재와의류,226340
제닉,경기관련소비재,내구소비재와의류,123330
선진뷰티사이언스,경기관련소비재,내구소비재와의류,86710
PN풍년,경기관련소비재,내구소비재와의류,24940
알톤스포츠,경기관련소비재,내구소비재와의류,123750
TBH글로벌,경기관련소비재,내구소비재와의류,84870
LS네트웍스,경기관련소비재,내구소비재와의류,680
형지I&C,경기관련소비재,내구소비재와의류,11080
코디,경기관련소비재,내구소비재와의류,80530
까스텔바작,경기관련소비재,내구소비재와의류,308100
한세엠케이,경기관련소비재,내구소비재와의류,69640
패션플랫폼,경기관련소비재,내구소비재와의류,225590
진도,경기관련소비재,내구소비재와의류,88790
아우딘퓨쳐스,경기관련소비재,내구소비재와의류,227610
피코그램,경기관련소비재,내구소비재와의류,376180
디와이디대양,경기관련소비재,내구소비재와의류,219550
양지사,경기관련소비재,내구소비재와의류,30960
자이글,경기관련소비재,내구소비재와의류,234920
에스티오,경기관련소비재,내구소비재와의류,98660
강원랜드,경기관련소비재,"호텔,레스토랑,레저등",35250
호텔신라,경기관련소비재,"호텔,레스토랑,레저등",8770
하나투어,경기관련소비재,"호텔,레스토랑,레저등",39130
파라다이스,경기관련소비재,"호텔,레스토랑,레저등",34230
아난티,경기관련소비재,"호텔,레스토랑,레저등",25980
롯데관광개발,경기관련소비재,"호텔,레스토랑,레저등",32350
GKL,경기관련소비재,"호텔,레스토랑,레저등",114090
모두투어,경기관련소비재,"호텔,레스토랑,레저등",80160
서부T&D,경기관련소비재,"호텔,레스토랑,레저등",6730
맘스터치,경기관련소비재,"호텔,레스토랑,레저등",220630
신세계푸드,경기관련소비재,"호텔,레스토랑,레저등",31440
용평리조트,경기관련소비재,"호텔,레스토랑,레저등",70960
참좋은여행,경기관련소비재,"호텔,레스토랑,레저등",94850
이월드,경기관련소비재,"호텔,레스토랑,레저등",84680
노랑풍선,경기관련소비재,"호텔,레스토랑,레저등",104620
시공테크,경기관련소비재,"호텔,레스토랑,레저등",20710
디딤,경기관련소비재,"호텔,레스토랑,레저등",217620
남화산업,경기관련소비재,"호텔,레스토랑,레저등",111710
이마트,경기관련소비재,소매(유통),139480
신세계,경기관련소비재,소매(유통),4170
BGF리테일,경기관련소비재,소매(유통),282330
GS리테일,경기관련소비재,소매(유통),7070
롯데쇼핑,경기관련소비재,소매(유통),23530
현대백화점,경기관련소비재,소매(유통),69960
현대홈쇼핑,경기관련소비재,소매(유통),57050
서울옥션,경기관련소비재,소매(유통),63170
케이카,경기관련소비재,소매(유통),381970
인터파크,경기관련소비재,소매(유통),35080
롯데하이마트,경기관련소비재,소매(유통),71840
다나와,경기관련소비재,소매(유통),119860
엔에스쇼핑,경기관련소비재,소매(유통),138250
BGF,경기관련소비재,소매(유통),27410
코리아센터,경기관련소비재,소매(유통),290510
큐렉소,경기관련소비재,소매(유통),60280
도이치모터스,경기관련소비재,소매(유통),67990
케이티알파,경기관련소비재,소매(유통),36030
광주신세계,경기관련소비재,소매(유통),37710
예스24,경기관련소비재,소매(유통),53280
실리콘투,경기관련소비재,소매(유통),257720
대명소노시즌,경기관련소비재,소매(유통),7720
대구백화점,경기관련소비재,소매(유통),6370
세이브존I&C,경기관련소비재,소매(유통),67830
베뉴지,경기관련소비재,소매(유통),19010
씨유메디칼,경기관련소비재,소매(유통),115480
이상네트웍스,경기관련소비재,소매(유통),80010
